catcode,company,brand,sku,packtype,base_pack,wght,uom,qty,mrp
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,VARUN BEVERAGE -NEPAL,7 UP,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,VARUN BEVERAGE -NEPAL,7 UP,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,VARUN BEVERAGE -NEPAL,7 UP,RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,YES P. LTD.-SINGAPORE,7 UP,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,AL-AIN NATIONAL JUICE-UAE,APPLE,TPK 250 ML-AL,TPK,250.000 ML,250.0,ML,250.0,0.0
118,AQUA MINERAL NEPAL LTD.- NEPAL,AQUA HUNDRED,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,HIMALAYAN AQUA MINERAL - NEPAL,BAILLEY,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,HIMALAYAN AQUA MINERAL - NEPAL,BAILLEY,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,PET 2000 ML,PET,2000.000 ML,2000.0,ML,2000.0,0.0
118,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,NATIONAL REFRESHMENT -UAE,CANADA DRY,TONIC WATER CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,NATIONAL REFRESHMENT -UAE,CANADA DRY,CLUB SODA CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,F & N COCACOLA-MALAYSIA,COCA-COLA,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,F & N COCACOLA-MALAYSIA,COCA-COLA,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,THE COCACOLA COMPANY-CHINA,COCA-COLA,PET 1250 ML,PET,1250.000 ML,1250.0,ML,1250.0,0.0
118,THE COCACOLA COMPANY-UAE,COCA-COLA,CAN 150 ML,CAN,150.000 ML,150.0,ML,150.0,0.0
118,THE COCACOLA COMPANY-CHINA,COCA-COLA,CAN 355 ML,CAN,355.000 ML,355.0,ML,355.0,0.0
118,AL-AIN NATIONAL JUICE-UAE,COCK TAIL DRINK,TPK 125 ML-AL,TPK,125.000 ML,125.0,ML,125.0,0.0
118,DEL MONTE PHILS - PHILIPINES,CRUSH PINEAPPLE,CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,F & N COCACOLA-MALAYSIA,DIET COKE,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,THE COCACOLA COMPANY-IMPORTED,DIET COKE,CAN 325 ML,CAN,325.000 ML,325.0,ML,325.0,0.0
118,F & N COCACOLA-MALAYSIA,DIET COKE,CAN 325 ML,CAN,325.000 ML,325.0,ML,325.0,0.0
118,F & N COCACOLA-SINGAPORE,DIET COKE,CAN 325 ML,CAN,325.000 ML,325.0,ML,325.0,0.0
118,VARUN BEVERAGE -NEPAL,DIET PEPSI,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,VARUN BEVERAGE -NEPAL,DIET PEPSI,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
